,1: Dataran Merdeka,2: Bangunan Sultan Abdul Samad,3: Muzium Tekstil Negara,4: Muzium Negara,5: Kuala Lumpur City Gallery,6: Muzium Telekom,7: Muzium Kesenian Islam Malaysia,8: KL Bird Park,9: Bangunan Zhongshan,10: Memorial Tun P. Ramlee,11: Memorial Lim Lian Geok,12: Butterfly Park,13: Menara Berkembar Petronas,14: Menara Kuala Lumpur,15: Pintasan Saloma,16: Sky Deck KL Tower,17: Merdeka 118,18: National Monument,19: Royal Selangor Visitor Centre,20: Central Market,21: Laluan Kasturi,22: Pavilion Kuala Lumpur,23: Suria KLCC,24: Food Court Lot 10,25: Berjaya Times Square,26: Plaza Pudu,27: Kompleks ICC Pudu,28: Fahrenheit 88,29: Dong Teh Mun Food Court,30: Taman Eko Rimba Kuala Lumpur,31: Taman Tasik Titiwangsa,32: The Starhill,33: Queen Victoria's Fountain,34: National Mosque of Malaysia,35: Sri Maha Mariamman Temple,36: Sin Sze Si Ya Temple,37: St Mary's Cathedral,38: Buddha Jayanti Temple,39: Jalan Alor Street Art,40: Jalan Petaling,41: KL Pudu Wai Sek Kai ,42: Kwai Chai Hong,43: Tapak Urban Street Dining Stadium KL,44: Aquaria KLCC,45: Petrosains,46: Planetarium Negara,47: Berjaya Times Square Theme Park,48: Perdana Botanical Gardens,49: Ilham Gallery,50: Batu Caves
11: Memorial Lim Lian Geok,21.446023102862434,20.29899218456664,19.007494497678586,22.76765131283281,20.026573520528686,19.954374318582897,22.83403471701717,30.107453681769915,7.069554281863051,91.11189032530326,0.0,21.867724875431627,40.97101534217294,29.087732013227495,46.81101444503646,35.82951572404403,11.71674056208091,33.499759765974304,105.05733403588164,17.001404988722907,15.677465426587165,28.20198941304193,41.29350705442777,23.0280792685013,17.3514469673913,21.905751843140155,22.442803817584903,24.364928953229622,10.467179864981317,31.676195493177165,65.99122530959802,29.958725686124446,20.1139068739008,18.684669732950198,13.86678278483568,14.415061974181773,23.518114135129625,28.39567570385279,22.580500886737166,12.903753338463948,20.71251960306659,8.47751803952072,67.77610782362032,33.53425857523026,39.68408645676437,26.355218576454156,17.422036642869877,31.052177756113863,47.37008723252509,138.59037661664982
12: Butterfly Park,14.49197948848223,13.530054431274126,10.195014690154004,18.207603947499337,11.805592299633787,19.305345570593992,13.907578057727175,8.524536521628436,20.629313599969993,86.34868289355589,21.867724875431627,0.0,43.05412933101821,30.403855787337847,44.65440093164117,44.87265603905849,20.4904130022313,11.916842605832828,104.4455866353422,13.842162341207333,15.06985887015239,37.817164139348115,44.505214437930704,38.33167719320669,35.86673869672087,43.29081598821444,43.827867962659184,38.916079368913564,17.627059688392986,29.406986900771937,61.22801787785062,40.848663661683446,11.892925653005895,10.819289536296276,14.949875436484065,16.091321858763866,16.249867171319014,50.26340057928443,34.01057944292733,17.025485149141122,42.19577028735372,17.31628448763624,89.64383269905196,42.21230865876779,42.04456576073227,16.406381770119125,37.01521076492607,12.457881452675739,53.15957858264915,133.37340089305698
13: Menara Berkembar Petronas,30.447327221835653,31.035138310991165,32.8591146408642,50.0779658687395,32.81706841002722,24.16511823615071,45.74491926731374,51.29385813735648,40.734624340316316,71.67662033025965,40.97101534217296,43.0541293310182,0.0,19.260820071515372,8.136800564912232,13.316215578869437,32.01478266883936,46.702832261051505,66.30383624250528,30.974337495007678,30.52614333322954,14.044068514119388,2.05056350108637,19.451688627718738,26.591581319634304,33.37098354430681,32.83393156986207,17.46202708406806,32.38283798810933,15.701341038696134,42.10548479258858,16.0560805078322,32.83662998947529,41.595554283246784,31.94553809644092,30.205803591586417,32.01445685115752,44.589258875839526,19.96321793850403,30.024422384318303,39.057738934329876,34.880561828782184,94.94690641016717,8.757127562500372,2.354179466451572,49.92456961888182,26.26421502028318,53.963062306410436,10.76563438886466,121.95973207628643
14: Menara Kuala Lumpur,19.81050247168828,20.3983135608438,20.208841097183846,37.42769232505915,20.166794866346862,11.514844692470362,33.09464572363339,38.64358459367613,27.91614915453839,80.11936351736476,29.087732013227495,30.403855787337847,19.26082007151537,0.0,24.28516602072174,22.833519886064476,19.23006583830666,37.3006972877965,82.79829794928953,18.32406395132732,17.875869789549174,15.778027986354092,20.711905178427866,18.79883649916989,24.80016482966394,32.44090916708709,31.903857192642345,18.108605506050523,19.56436280233142,16.397943157501714,51.785694914820354,18.80952750868941,20.254128219718975,28.945280739566424,19.295264552760575,17.555530047906068,21.882593503955473,44.709926864672,16.38240175794087,17.20594719854039,38.12766455711016,22.062086643004257,94.913458400898,19.09249453372116,18.25125650122943,37.27429607520147,25.334140643063456,41.31278876273008,29.868085651111187,128.9758164589743
15: Pintasan Saloma,31.593709496570888,32.1815205857264,34.45938624148715,52.8454657262117,34.41734001065018,27.582964866335622,47.3451908679367,51.72231278514383,45.758970289522686,63.539819765347374,46.81101444503648,44.65440093164116,8.136800564912233,24.285166020721732,0.0,20.184860403239856,37.03912861804572,47.11478877933587,64.06088561202864,32.83744553646323,33.08981312782681,19.884067616982904,9.881780797845678,25.291687730582264,32.43158042249783,39.210982647170326,38.67393067272558,23.302026186931574,36.46431268286175,16.847723313431363,33.96868422767635,21.896079610695715,33.98301226421053,43.19582588386974,35.15466582638756,33.414931321533054,32.42641336944188,50.42925797870304,25.80321704136755,34.02773920937913,44.89773803719339,39.39518120401322,100.78690551303073,15.520953858792547,9.222824290821988,51.52484121950477,32.10421412314671,55.56333390703338,17.45270771472669,113.82293151137418
16: Sky Deck KL Tower,34.27930272340892,34.86711381256443,34.67764134890448,51.89649257677979,34.635595118067506,25.983644944191,47.56344597535403,53.11238484539676,42.326883041391795,82.46972717440023,35.829515724044036,44.87265603905849,13.316215578869436,22.833519886064465,20.184860403239856,0.0,33.052567480156604,51.76949753951712,75.4555812197456,32.79286420304796,32.34467004126983,8.296420907319316,12.474544403583655,14.159461626360534,21.41918621249038,28.198588437162893,27.66153646271815,11.714379477267983,33.9750966891848,22.933611611684974,52.083478932648795,10.075899969205352,34.722928471439616,43.414080991287065,33.76406480448121,32.024330299626705,36.351393755676106,36.62151423204001,15.186808551852044,31.616681085393775,33.88534382718596,36.47282052985766,85.62414178318463,5.136843290656662,10.962036112417863,51.7430963269221,21.09181991313927,55.78158901445072,14.582830700946799,133.70496200673637
17: Merdeka 118,15.816254264445588,14.66922334614979,14.103714400054539,24.11523530711434,14.396804682111844,11.907940731766868,22.17497411733986,28.730141808569577,10.863419753651769,83.71075571161899,11.71674056208091,20.490413002231282,32.01478266883939,19.23006583830666,37.03912861804575,33.05256748015661,0.0,32.12244789277397,95.5522605466135,11.371636150306063,10.047696588170316,25.919844238584385,33.46586777575188,21.10503193162494,15.428399630514937,22.80040298598313,23.337454960427877,22.441881616353257,5.220628226168421,23.842671398992582,58.590090695913716,28.035678349248094,14.484138035483955,18.374202497147582,8.246815308287196,8.785293135764926,17.888345296712778,30.814091823388132,18.23849601665176,7.273984500047104,21.705357285122414,5.896595597008075,76.41589604812805,30.392220099865913,31.005219098553454,26.35462446890794,16.52479776269477,30.393117156436553,42.62204824843521,131.19575609676758
18: National Monument,17.49019481610821,19.059150581117592,21.74439384823032,24.123299063315645,19.895521696214075,25.851408820084615,22.041131986502005,14.440231637444748,32.26134849051268,85.72117599577102,33.49975976597431,11.916842605832828,46.702832261051505,37.300697287796496,47.114788779335875,51.76949753951714,32.12244789277397,0.0,106.54663528128765,23.00199003917071,24.00577155358199,44.71400563980677,48.53497396806175,45.54733166477605,43.647756137536355,54.92285087875712,55.377659565489544,46.13173384048294,28.469038053989326,32.76579035548471,60.600510980065756,47.745505162142095,20.132254633419432,22.050584756869547,26.476019044202996,25.395068546162012,15.434823537943938,61.8954354698271,40.90742094338597,26.032464580506694,53.827805177896366,28.948319378178915,101.2758675895947,49.10915015922645,47.788855986961266,22.322076885935434,45.11264301737839,18.373576568492048,56.22531251151008,128.4114603975155
19: Royal Selangor Visitor Centre,91.38489520027198,91.97270628942749,94.25057194518828,112.63665142991286,94.20852571435131,87.37415057003675,107.13637657163785,111.5836686810616,104.27210221809057,28.66209678921968,105.05733403588175,104.44558663534227,66.30383624250533,82.79829794928953,64.06088561202861,75.4555812197456,95.55226054661355,106.54663528128776,0.0,92.62863124016435,92.88099883152793,78.13038720782818,65.852073201696,83.53800732142751,90.67790001334305,97.45730223801563,96.92025026357089,81.54834577777685,95.92031586588355,76.63890901713249,51.37320105912489,80.14239920154098,93.77419796791162,102.98701158757083,94.94585153008867,93.20611702523418,92.28776926535963,103.34583957843647,84.04953663221279,93.56190026209252,103.1440576280387,98.41803970655639,152.2890871751649,73.56855098671652,67.38985996841508,111.31602692320592,90.35053371399195,115.35451961073456,62.939307082586524,90.68349976093725
20: Central Market,5.511795223062495,4.364764304766701,3.6471476510533267,20.363175042810003,3.6112905674791786,7.225553734583472,15.493589114166246,22.081891147545626,15.829822130033799,76.39328967449727,17.001404988722907,13.84216234120733,30.97433749500769,18.32406395132732,32.837445536463235,32.79286420304796,11.371636150306058,23.001990039170703,92.62863124016432,0.0,1.4020689126926495,25.737372303337594,32.42542260192018,25.78406135285955,23.31912285637374,34.115563916221944,34.65261589066669,26.368463528566433,6.534225123741589,17.590031505594002,51.272624658792,28.76887182567292,3.6986239208512885,11.71718393676935,3.8723164033136572,2.805747885151855,7.583886255329686,42.12925275362695,21.930787606916812,4.097651650258955,33.020518215361236,8.937221306856634,84.47019059284528,30.132516822757268,29.964773924721754,19.673239465734333,24.784009736215765,23.711732153262943,41.34262318747121,123.81978255034643
21: Laluan Kasturi,6.515576737473776,5.3685458191779825,4.874844179998382,19.755652598384888,4.838987096424233,6.777359572805326,16.764461039831634,23.309587676490686,14.505882567898057,76.71230011134833,15.677465426587165,15.06985887015239,30.52614333322954,17.875869789549174,33.089813127826815,32.34467004126982,10.047696588170314,24.005771553581987,92.8809988315279,1.4020689126926498,0.0,25.28917814155945,31.977228440142035,24.535252908834938,22.07031441234913,32.7916243540862,33.328676328530946,25.11965508454183,5.210285561605846,17.84239909695758,51.591635095643056,28.320677663894777,4.926320449796343,12.988055862434734,2.470247490621008,1.4221152288522005,8.587667769740968,40.80531319149121,20.74291066344775,2.773712088123212,31.696578653225487,7.55358865055698,83.14625103070955,29.684322660979124,29.516579762943604,20.94411139139972,23.535201292191157,24.982604078928333,41.13340891282536,124.1387929871975
22: Pavilion Kuala Lumpur,27.22381082369856,27.811621912854072,27.622149449194108,44.84100067706942,27.58010321835713,18.928153044480624,40.50795407564366,46.0568929456864,34.75583635237637,80.68611926267191,28.20198941304194,37.817164139348115,14.044068514119385,15.778027986354092,19.8840676169829,8.296420907319316,25.919844238584375,44.71400563980677,78.13038720782814,25.737372303337583,25.289178141559443,0.0,14.10710294603305,6.5319353153584325,13.791659901488279,20.571062126160808,20.034010151716064,4.086853166265879,26.91960478947443,19.02672879875757,52.31324115212626,3.7971475309003866,27.667436571729247,36.3585890915767,26.70857290477084,24.968838399916336,29.29590185596575,31.214084958037347,8.045292651529238,24.561189185683403,26.25781751618387,29.417328630147278,81.57173249236503,6.094734252320841,12.497682348369644,44.68760442721174,13.464293602137165,48.72609711474034,20.45286040816939,129.79807919380897
23: Suria KLCC,32.279468928845894,32.86728001800141,34.3101997477767,51.529050975652005,34.26815351693972,25.616203343063212,47.19600437422624,52.744943244268974,42.185709447228824,72.83305931288623,41.29350705442778,44.505214437930704,2.05056350108637,20.711905178427873,9.881780797845677,12.474544403583653,33.46586777575186,48.534973968061735,65.852073201696,32.42542260192018,31.977228440142042,14.107102946033054,0.0,19.774180339973558,26.914073031889117,33.69347525656163,33.15642328211688,17.525061515981722,33.83392309502184,17.53348274570637,42.446811071134796,15.912390140927672,34.355486870311836,43.046639390159285,33.39662320335342,31.656888698498918,33.84659855816775,44.6522933077532,20.28570965075885,31.475507491230807,39.3802306465847,36.331646935694685,95.00994084208085,8.012368693712208,2.4606486771984346,51.37565472579432,26.586706732537998,55.41414741332293,9.539817236561438,123.70471230921989
24: Food Court Lot 10,28.057136848667856,28.367034936253628,28.136662503052662,42.54804582254072,28.094616272215685,19.814441470837814,40.607784632766254,46.57140599954495,29.58192620783574,84.1507386899827,23.028079268501294,38.331677193206666,19.45168862771873,18.798836499169887,25.291687730582254,14.159461626360537,21.10503193162494,45.54733166477607,83.53800732142749,25.784061352859545,24.53525290883493,6.5319353153584325,19.774180339973565,0.0,7.964265884268728,14.251865377105307,13.714813402660562,2.803763751554964,24.39340335936323,22.3270269948942,55.77786057943707,8.000300450390009,28.181949625587798,36.80701301257398,24.410249713068282,23.333733390142903,30.129227880935044,26.520883074690214,4.76863927732453,22.04711061383892,19.938620767128366,26.891127200036067,76.99247922731168,11.957774971362062,18.164759742310157,44.78743498433433,7.435424790094227,48.82592767186294,26.3159011272106,133.26269862111977
