poi_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
38,37.881549,36.898376,36.036056,39.873575,37.093325,32.514307,38.767589,40.816904,27.890847,82.717012,22.406355,41.608318,34.462833,31.874008,39.281914,42.274100,25.622616,49.286137,84.760311,34.394458,33.388701,23.274665,33.553660,19.002497,16.446033,7.914646,8.224566,19.997806,29.711036,35.990420,62.992523,21.225018,32.885745,35.763636,32.349562,32.505865,39.506632,0.000000,21.660183,31.057485,6.777127,28.776987,42.321351,27.337903,33.090132,38.459444,15.149726,44.055153,35.774761,145.751657
39,20.040101,19.621958,20.225970,30.968130,20.911581,13.777103,27.549594,27.938466,20.362253,63.226879,17.143633,27.291146,15.454180,10.390804,18.669166,43.688314,12.518480,33.563642,68.767967,18.584642,17.766274,5.649904,15.188581,3.759171,6.254100,13.841546,13.449681,4.359379,16.135323,14.397606,42.417902,7.016823,22.604077,23.703165,17.806888,17.083172,21.540001,21.660183,0.000000,15.712287,16.926493,17.169951,62.806326,9.558453,14.086561,28.255369,6.919089,30.962236,21.336834,124.781316
40,7.312782,6.077088,5.045684,16.238969,6.051224,5.567229,12.197029,12.235373,9.907217,67.352983,11.848077,11.694044,25.962206,13.072627,25.393512,33.132495,5.461664,18.656557,77.131866,3.355435,2.358273,20.761317,26.521386,19.132854,16.165087,23.836047,23.894512,20.050082,2.466365,15.421077,45.472087,22.675663,8.558265,8.373787,2.152511,1.500094,8.849104,31.057485,15.712287,0.000000,24.432568,4.925336,66.311751,23.201381,25.025657,13.229986,17.711830,15.255539,34.412518,124.203352
41,31.390394,30.353460,29.369964,33.262104,30.442960,26.272205,32.020278,34.041350,21.191885,79.677978,15.699095,34.840347,31.302801,26.583895,35.410863,37.353993,18.976014,42.538295,83.389258,27.749195,26.743949,19.913442,30.624696,15.144023,10.966254,4.164033,4.862777,16.478345,22.996884,30.767594,59.232625,18.508350,26.132221,28.988220,25.648770,25.860186,33.009752,6.777127,16.926493,24.432568,0.000000,22.007605,45.882569,24.325767,29.895084,31.752368,10.013577,37.281251,34.323823,141.704836
42,11.695592,10.320080,8.247364,13.821079,9.388508,10.310397,10.853540,12.222849,5.007117,72.160732,7.580037,12.832879,29.490114,17.134140,29.601101,28.703115,4.671956,20.577713,81.496039,7.048023,6.227142,22.684017,29.873134,20.057465,15.737145,22.219160,22.417747,21.253216,2.467280,19.961490,50.294634,24.138735,5.444873,7.264519,4.539746,5.535602,13.059832,28.776987,17.169951,4.925336,22.007605,0.000000,62.023938,25.792105,28.425991,11.251219,17.188657,15.481128,37.411593,129.090431
43,73.581802,72.259029,70.252755,65.788382,71.388485,70.031831,67.642872,70.794960,58.203244,125.035004,54.520608,72.904311,76.710989,72.123261,81.219456,53.055120,61.394123,80.507365,126.246577,69.046939,68.162904,65.393676,75.848005,60.829764,56.735374,49.311632,49.849494,62.014334,64.086543,76.300444,105.040159,63.503535,63.146073,66.565319,66.549473,67.374539,75.034284,42.321351,62.806326,66.311751,45.882569,62.023938,0.000000,69.594041,75.323796,66.364385,55.888377,73.355687,77.792297,187.587201
44,25.307172,25.376708,26.823849,39.276751,27.208433,19.415466,35.397862,35.165146,29.528682,55.488153,26.665656,33.938722,7.124976,12.306581,12.434445,53.157827,21.335486,39.001678,59.586152,25.402903,24.801603,4.488250,6.304985,9.350705,15.131125,20.464481,19.866727,7.886050,24.285375,14.353288,35.737061,6.118386,31.075491,31.563044,25.349787,24.321056,26.500821,27.337903,9.558453,23.201381,24.325767,25.792105,69.594041,0.000000,5.757995,36.364620,15.160518,37.893683,11.824962,118.531199
45,25.482174,25.865597,27.802330,41.255943,27.956770,20.328681,37.032657,36.290007,32.677456,49.810508,30.561293,34.657785,1.408877,12.373134,7.110445,56.664422,24.342152,38.709790,54.700214,26.614640,26.202180,9.990121,1.520605,14.773212,20.152354,26.118490,25.538290,13.421023,26.562919,12.645803,29.989048,11.876172,33.396862,33.314785,27.094306,25.895379,26.402536,33.090132,14.086561,25.025657,29.895084,28.425991,75.323796,5.757995,0.000000,38.211304,20.410174,38.713737,9.783163,112.781898
46,15.000676,13.880099,11.175653,3.131748,11.590603,18.088189,1.780089,4.987556,10.568743,77.541659,16.056066,7.785507,39.103219,26.048550,37.985218,23.022762,15.890357,14.358242,89.063838,11.870940,12.092623,33.633871,39.715150,31.278711,26.913114,32.713636,33.007787,32.431289,12.161998,27.682459,55.784022,35.264732,5.921920,4.901414,11.123869,12.322731,15.284672,38.459444,28.255369,13.229986,31.752368,11.251219,66.364385,36.364620,38.211304,0.000000,28.324195,7.001584,47.642251,130.668010
47,23.723904,22.951732,22.723888,30.598129,23.645065,17.876672,28.039708,29.213309,18.735173,69.974689,14.108094,29.244343,21.813888,16.770645,25.513970,40.165136,12.849330,36.362603,74.738923,21.012941,20.046829,10.678430,21.315756,5.854598,1.549835,7.235291,6.987323,7.409749,17.135351,20.923326,49.305159,10.151234,22.404659,24.408591,19.472003,19.210960,25.334618,15.149726,6.919089,17.711830,10.013577,17.188657,55.888377,15.160518,20.410174,28.324195,0.000000,32.432672,26.249849,131.699892
48,13.429803,12.864189,11.070074,8.385987,10.770391,18.536146,5.786308,3.259231,16.569796,73.884557,21.839740,4.068804,39.395797,26.348636,37.188637,28.557650,19.583393,7.478430,86.800757,12.535949,13.249300,35.876856,40.233670,34.376938,30.924777,37.697334,37.898771,35.304820,15.313092,26.926177,52.452292,37.899183,11.305882,8.297823,13.204278,13.885554,12.941854,44.055153,30.962236,15.255539,37.281251,15.481128,73.355687,37.893683,38.713737,7.001584,32.432672,0.000000,48.441175,124.960703
49,35.257766,35.613848,37.472987,50.636592,37.673115,29.974961,46.543150,45.951747,41.307596,48.093564,38.474465,44.394244,9.366249,22.095497,14.276159,64.982388,33.056293,48.471583,49.121566,36.222230,35.751565,15.884432,8.282695,20.440011,26.504578,30.200549,29.524180,18.864536,35.745290,22.333116,31.234355,16.148821,42.584845,42.769621,36.525527,35.384276,36.185594,35.774761,21.336834,34.412518,34.323823,37.411593,77.792297,11.824962,9.783163,47.642251,26.249849,48.441175,0.000000,112.803907
50,117.774891,119.184018,121.845669,133.071723,120.878063,119.350544,128.900842,125.750883,133.929275,65.336873,135.630107,122.894813,111.449455,115.762356,106.482717,153.484553,128.066282,118.031326,76.314317,122.425897,123.042436,122.477877,112.503240,126.864004,130.884238,138.366912,137.865660,125.772198,126.663945,111.653479,82.794140,124.637113,130.526066,127.708757,124.803325,123.612112,116.745738,145.751657,124.781316,124.203352,141.704836,129.090431,187.587201,118.531199,112.781898,130.668010,131.699892,124.960703,112.803907,0.000000
