id,name,name_en,name_ms,amenity,man_made,shop,tourism,opening_hours,beds,rooms,addr_full,addr_housenumber,addr_street,addr_city,source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,adm4_pcode,adm4_name,name_latin,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5729567223,Old KL Train Station,Old KL Train Station,,,,,attraction,,,,,,Jalan Sultan Hishamuddin,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Old KL Train Station,,,,,,,,,,,,,,,,,,,,,,,,,,
way/765200301,Pintasan Saloma,Saloma Link,,,,,attraction,"Mo-Sa 05:00-01:00, Su,PH 05:00-00:30",,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Saloma Link,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1237772915,Pintasan Saloma,Saloma Link,,,,,attraction,"Mo-Sa 05:00-01:00, Su,PH 05:00-00:30",,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Saloma Link,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1021001334,Rumah Pokok Samali,Samali Treehouse,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Samali Treehouse,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12001002231,Sudut Pidato,Speaker's Corner,Sudut Pidato,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Speaker's Corner,,,,,,,,,,,,,,,,,,,,,,,,,,
way/776280280,Taman Bunga Raya,Hibiscus Park,,,,,attraction,Mo-Su 09:00-18:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Hibiscus Park,,,,,,,,,,,,,,,,,,,,,,,,,,
way/28287741,Taman Eko Rimba Kuala Lumpur,KL Forest Eco-Park,Taman Eko Rimba Kuala Lumpur,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,KL Forest Eco-Park,,,,,,,,,,,,,,,,,,,,,,,,,,
way/776280279,Taman Orkid,Orchid Park,,,,,attraction,Mo-Su 09:00-18:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Orchid Park,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12483500601,The Tree of Hope,The Tree of Hope,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,The Tree of Hope,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1919710738,Upside Down House,,,,,,attraction,09:00-19:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Upside Down House,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1058167200,Tapak Perkhemahan,,,,,,camp_pitch,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Tapak Perkhemahan,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4651277890,Camp Ground,Camp Ground,,,,,camp_site,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Camp Ground,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7409649150,The Owl Homestay,,,,,,chalet,,,,,3,Lorong Tiong Nam 8,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,The Owl Homestay,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5785078972,Villa Sri Ananda,Villa Sri Ananda,,,,,chalet,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Villa Sri Ananda,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11162549305,A+ Works of Art,,,,,,gallery,Tu-Sa 12:00-19:00,,,,D6-G-8,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,A+ Works of Art,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13390296100,Art Is Art Gallery,Art Is Art Gallery,,,,,gallery,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Art Is Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,
way/428954061,Balai Seni Visual Negara,National Visual Arts Gallery,,,,,gallery,Mo-Fr 09:00-19:00,,,,2,Jalan Temerloh,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,National Visual Arts Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9903396583,Galeri Budi,,,,,,gallery,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Galeri Budi,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4770741269,Galeri Petronas,Petronas Gallery,Galeri Petronas,,,,gallery,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Petronas Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13527855002,Galeri Royal Selangor,Royal Selangor Gallery,,,,,gallery,Mo-Su 09:00-18:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Royal Selangor Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,
